,occupation,competency,category,description
1069,Survey Researchers,Statistical software,Technology Skills,Analytical or scientific software
1070,Survey Researchers,"Monitor and evaluate survey progress and performance, using sample disposition reports and response rate calculations.",Task Statements,Core
1071,Survey Researchers,Selective Attention,Abilities,The ability to concentrate on a task over a period of time without being distracted.
1072,Survey Researchers,Voxco PRONTO,Technology Skills,Analytical or scientific software
1073,Survey Researchers,Snap Survey Software,Technology Skills,Data base user interface and query software
1074,Survey Researchers,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews.",Task Statements,Core
1075,Survey Researchers,Getting Information,Work Activities,"Observing, receiving, and otherwise obtaining information from all relevant sources."
1076,Survey Researchers,Leadership,Work Styles,"Job requires a willingness to lead, take charge, and offer opinions and direction."
1077,Survey Researchers,Practical extraction and reporting language Perl,Technology Skills,Object or component oriented development software
1078,Survey Researchers,"Guiding, Directing, and Motivating Subordinates",Work Activities,"Providing guidance and direction to subordinates, including setting performance standards and monitoring performance."
1079,Survey Researchers,Sociology and Anthropology,Knowledge,"Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures and their history and origins."
1080,Survey Researchers,Evaluating Information to Determine Compliance with Standards,Work Activities,"Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards."
1081,Survey Researchers,Microsoft Office,Technology Skills,Office suite software
1082,Survey Researchers,Microsoft Excel,Technology Skills,Spreadsheet software
1083,Survey Researchers,Merlinco MERLIN,Technology Skills,Analytical or scientific software
1084,Survey Researchers,"Prepare and present summaries and analyses of survey data, including tables, graphs, and fact sheets that describe survey techniques and results.",Task Statements,Core
1085,Survey Researchers,Writing,Skills,Communicating effectively in writing as appropriate for the needs of the audience.
1086,Survey Researchers,Microsoft PowerPoint,Technology Skills,Presentation software
1087,Survey Researchers,Management of Personnel Resources,Skills,"Motivating, developing, and directing people as they work, identifying the best people for the job."
1088,Survey Researchers,Developing and Building Teams,Work Activities,"Encouraging and building mutual trust, respect, and cooperation among team members."
1089,Survey Researchers,Scheduling Work and Activities,Work Activities,"Scheduling events, programs, and activities, as well as the work of others."
1090,Survey Researchers,Microsoft Project,Technology Skills,Project management software
1091,Survey Researchers,Analyzing Data or Information,Work Activities,"Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts."
1092,Survey Researchers,Perseus SurveySolutions,Technology Skills,Project management software
1093,Survey Researchers,Power and Precision,Technology Skills,Analytical or scientific software
1094,Survey Researchers,Originality,Abilities,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."
1095,Survey Researchers,Written Comprehension,Abilities,The ability to read and understand information and ideas presented in writing.
1096,Survey Researchers,Microsoft Access,Technology Skills,Data base user interface and query software
1097,Survey Researchers,Random forest software,Technology Skills,Analytical or scientific software
1098,Survey Researchers,Customer and Personal Service,Knowledge,"Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction."
1099,Survey Researchers,Pulse Train Bellview Web,Technology Skills,Web page creation and editing software
1100,Survey Researchers,Number Facility,Abilities,"The ability to add, subtract, multiply, or divide quickly and correctly."
1101,Survey Researchers,Harmoni ESPRI,Technology Skills,Analytical or scientific software
1102,Survey Researchers,Independence,Work Styles,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
1103,Survey Researchers,Spreadsheet software,Technology Skills,Spreadsheet software
1104,Survey Researchers,Research Spectrum Survent CATI,Technology Skills,Data base user interface and query software
1105,Survey Researchers,Oral Comprehension,Abilities,The ability to listen to and understand information and ideas presented through spoken words and sentences.
1106,Survey Researchers,TURBO Spring-Stat,Technology Skills,Analytical or scientific software
1107,Survey Researchers,Self Control,Work Styles,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
1108,Survey Researchers,Social Perceptiveness,Skills,Being aware of others' reactions and understanding why they react as they do.
1109,Survey Researchers,Voxco StatXP,Technology Skills,Analytical or scientific software
1110,Survey Researchers,Email software,Technology Skills,Electronic mail software
1111,Survey Researchers,Support,Work Values,"Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical."
1112,Survey Researchers,Direct updates and changes in survey implementation and methods.,Task Statements,Core
1113,Survey Researchers,Gravic Principia Remark,Technology Skills,Data base user interface and query software
1114,Survey Researchers,Mathematics,Skills,Using mathematics to solve problems.
1115,Survey Researchers,Python,Technology Skills,Object or component oriented development software
1116,Survey Researchers,Salford Systems TreeNet,Technology Skills,Analytical or scientific software
1117,Survey Researchers,Acarda CallAssist,Technology Skills,Expert system software
1118,Survey Researchers,"Communicating with Supervisors, Peers, or Subordinates",Work Activities,"Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person."
1119,Survey Researchers,Personal digital assistants PDA,Tools Used,Personal digital assistant PDAs or organizers
1120,Survey Researchers,Askia Vista,Technology Skills,Data base user interface and query software
1121,Survey Researchers,Speech Clarity,Abilities,The ability to speak clearly so others can understand you.
1122,Survey Researchers,Raosoft SURVEYWin,Technology Skills,Data base user interface and query software
1123,Survey Researchers,Askia Voice,Technology Skills,Data base user interface and query software
1124,Survey Researchers,Flexibility of Closure,Abilities,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."
1125,Survey Researchers,Innovation,Work Styles,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
1126,Survey Researchers,Updating and Using Relevant Knowledge,Work Activities,Keeping up-to-date technically and applying new knowledge to your job.
1127,Survey Researchers,QPSMR Limited Insight,Technology Skills,Data base user interface and query software
1128,Survey Researchers,Systems Evaluation,Skills,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
1129,Survey Researchers,Active Listening,Skills,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
1130,Survey Researchers,Viking data editor,Technology Skills,Data base user interface and query software
1131,Survey Researchers,Adobe Systems Adobe Cold Fusion,Technology Skills,Web page creation and editing software
1132,Survey Researchers,Achievement/Effort,Work Styles,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
1133,Survey Researchers,Statistical Solutions SOLAS,Technology Skills,Analytical or scientific software
1134,Survey Researchers,Apian SurveyPro,Technology Skills,Data base user interface and query software
1135,Survey Researchers,QPSMR Limited CATI,Technology Skills,Data base user interface and query software
1136,Survey Researchers,English Language,Knowledge,"Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar."
1137,Survey Researchers,Persistence,Work Styles,Job requires persistence in the face of obstacles.
1138,Survey Researchers,QPSMR Limited Reflect,Technology Skills,Presentation software
1139,Survey Researchers,Postal boundary mapping software,Technology Skills,Map creation software
1140,Survey Researchers,Cooperation,Work Styles,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
1141,Survey Researchers,Pulse Train Bellview TCI,Technology Skills,Data base user interface and query software
1142,Survey Researchers,P-STAT,Technology Skills,Analytical or scientific software
1143,Survey Researchers,Monitoring,Skills,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
1144,Survey Researchers,SDA Survey,Technology Skills,Analytical or scientific software
1145,Statisticians,Apply sampling techniques or use complete enumeration bases to determine and define groups to be surveyed.,Task Statements,Core
1146,Statisticians,Insightful S-PLUS,Technology Skills,Analytical or scientific software
1147,Statisticians,Judgment and Decision Making,Skills,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
1148,Statisticians,Linux,Technology Skills,Operating system software
1149,Statisticians,Data entry software,Technology Skills,Data base user interface and query software
1150,Statisticians,SAS/CONNECT,Technology Skills,Enterprise application integration software
1151,Statisticians,Minitab,Technology Skills,Analytical or scientific software
1152,Statisticians,Interpreting the Meaning of Information for Others,Work Activities,Translating or explaining what information means and how it can be used.
1153,Statisticians,SAS Enterprise Miner,Technology Skills,Data mining software
1154,Statisticians,Processing Information,Work Activities,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data."
1155,Statisticians,Time Management,Skills,Managing one's own time and the time of others.
1156,Statisticians,Reading Comprehension,Skills,Understanding written sentences and paragraphs in work related documents.
1157,Statisticians,UNISTAT Statistical Package,Technology Skills,Analytical or scientific software
1158,Statisticians,"Examine theories, such as those of probability and inference, to discover mathematical bases for new or improved methods of obtaining and evaluating numerical data.",Task Statements,Core
1159,Statisticians,Visual Numerics TS-WAVE,Technology Skills,Analytical or scientific software
1160,Statisticians,Integrity,Work Styles,Job requires being honest and ethical.
1161,Statisticians,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Work Activities,"Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity."
1162,Statisticians,Common business oriented language COBOL,Technology Skills,Development environment software
1163,Statisticians,Complex Problem Solving,Skills,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
1164,Statisticians,Mathematical Reasoning,Abilities,The ability to choose the right mathematical methods or formulas to solve a problem.
1165,Statisticians,NCSS Power Analysis and Sample Size PASS,Technology Skills,Analytical or scientific software
1166,Statisticians,Tableau,Technology Skills,Business intelligence and data analysis software
1167,Statisticians,Analytical Thinking,Work Styles,Job requires analyzing information and using logic to address work-related issues and problems.
1168,Statisticians,Adaptability/Flexibility,Work Styles,Job requires being open to change (positive or negative) and to considerable variety in the workplace.
1169,Statisticians,Speech Recognition,Abilities,The ability to identify and understand the speech of another person.
1170,Statisticians,STATISTICA,Technology Skills,Analytical or scientific software
1171,Statisticians,Documenting/Recording Information,Work Activities,"Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form."
1172,Statisticians,IBM SPSS Statistics,Technology Skills,Analytical or scientific software
1173,Statisticians,"Organizing, Planning, and Prioritizing Work",Work Activities,"Developing specific goals and plans to prioritize, organize, and accomplish your work."
1174,Statisticians,"Adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering.",Task Statements,Core
1175,Statisticians,Working Conditions,Work Values,"Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions."
1176,Statisticians,Near Vision,Abilities,The ability to see details at close range (within a few feet of the observer).
1177,Statisticians,Stress Tolerance,Work Styles,Job requires accepting criticism and dealing calmly and effectively with high stress situations.
1178,Statisticians,Aptech Systems GAUSS,Technology Skills,Analytical or scientific software
1179,Statisticians,Category Flexibility,Abilities,The ability to generate or use different sets of rules for combining or grouping things in different ways.
1180,Statisticians,Scientific Software International SSI LISREL,Technology Skills,Analytical or scientific software
1181,Statisticians,Systems Analysis,Skills,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
1182,Statisticians,Science,Skills,Using scientific rules and methods to solve problems.
1183,Statisticians,SAP PowerBuilder,Technology Skills,Object or component oriented development software
1184,Statisticians,R,Technology Skills,Object or component oriented development software
1185,Statisticians,"Identifying Objects, Actions, and Events",Work Activities,"Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events."
1186,Statisticians,Muthen & Muthen MPlus,Technology Skills,Analytical or scientific software
1187,Statisticians,SuperANOVA,Technology Skills,Analytical or scientific software
1188,Statisticians,Supervise and provide instructions for workers collecting and tabulating data.,Task Statements,Core
1189,Statisticians,StataCorp Stata,Technology Skills,Analytical or scientific software
1190,Statisticians,Training and Teaching Others,Work Activities,"Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others."
1191,Statisticians,Personal computers,Tools Used,Personal computers
1192,Statisticians,Communicating with Persons Outside Organization,Work Activities,"Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail."
1193,Statisticians,Relationships,Work Values,"Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service."
1194,Statisticians,Independence,Work Values,"Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy."
1195,Statisticians,Deductive Reasoning,Abilities,The ability to apply general rules to specific problems to produce answers that make sense.
1196,Statisticians,The MathWorks MATLAB,Technology Skills,Analytical or scientific software
1197,Statisticians,NCR Teradata Warehouse Miner,Technology Skills,Data mining software
1198,Statisticians,Computers and Electronics,Knowledge,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming."
1199,Statisticians,Programming,Skills,Writing computer programs for various purposes.
1200,Statisticians,StatPoint STATGRAPHICS Centurion,Technology Skills,Analytical or scientific software
1201,Statisticians,Econometric Software LIMDEP,Technology Skills,Analytical or scientific software
1202,Statisticians,Develop software applications or programming to use for statistical modeling and graphic analysis.,Task Statements,Core
1203,Statisticians,Problem Sensitivity,Abilities,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem."
1204,Statisticians,Sun Microsystems Java,Technology Skills,Object or component oriented development software
1205,Statisticians,"Present statistical and nonstatistical results, using charts, bullets, and graphs, in meetings or conferences to audiences such as clients, peers, and students.",Task Statements,Core
1206,Statisticians,Microsoft Word,Technology Skills,Word processing software
1207,Statisticians,IBM DB2,Technology Skills,Data base user interface and query software
1208,Statisticians,Prepare and structure data warehouses for storing data.,Task Statements,Core
1209,Statisticians,Mathematics,Knowledge,"Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications."
1210,Statisticians,Recognition,Work Values,"Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status."
1211,Statisticians,C++,Technology Skills,Object or component oriented development software
1212,Statisticians,Cytel StatXact,Technology Skills,Analytical or scientific software
1213,Statisticians,Microsoft Visual Basic,Technology Skills,Development environment software
1214,Statisticians,XGobi,Technology Skills,Analytical or scientific software
1215,Statisticians,Camfit Data Limited Microfit,Technology Skills,Analytical or scientific software
1216,Statisticians,Thinking Creatively,Work Activities,"Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions."
1217,Statisticians,Report results of statistical analyses in peer-reviewed papers and technical manuals.,Task Statements,Core
1218,Statisticians,Establishing and Maintaining Interpersonal Relationships,Work Activities,"Developing constructive and cooperative working relationships with others, and maintaining them over time."
1219,Statisticians,Interacting With Computers,Work Activities,"Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information."
1220,Statisticians,Provide Consultation and Advice to Others,Work Activities,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics."
1221,Statisticians,Fluency of Ideas,Abilities,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity)."
1222,Statisticians,Active Learning,Skills,Understanding the implications of new information for both current and future problem-solving and decision-making.
1223,Statisticians,IBM SPSS Amos,Technology Skills,Analytical or scientific software
1224,Statisticians,GraphPad Software GraphPad Prism,Technology Skills,Analytical or scientific software
1225,Statisticians,Scientific Software International SSI Hierarchical Linear and Non-Linear Modeling HLM,Technology Skills,Analytical or scientific software
1226,Statisticians,Oral Expression,Abilities,The ability to communicate information and ideas in speaking so others will understand.
1227,Statisticians,Quantitative Micro Software EViews,Technology Skills,Analytical or scientific software
1228,Statisticians,Information Ordering,Abilities,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations)."
1229,Statisticians,Achievement,Work Values,"Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement."
1230,Statisticians,Apache Hadoop,Technology Skills,Data base management system software
1231,Statisticians,Critical Thinking,Skills,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems."
1232,Statisticians,Making Decisions and Solving Problems,Work Activities,Analyzing information and evaluating results to choose the best solution and solve problems.
1233,Statisticians,Attention to Detail,Work Styles,Job requires being careful about detail and thorough in completing work tasks.
1234,Statisticians,Statistical Solutions BMDP,Technology Skills,Analytical or scientific software
1235,Statisticians,SAS,Technology Skills,Analytical or scientific software
1236,Statisticians,Stat-Ease Design-Ease,Technology Skills,Analytical or scientific software
1237,Statisticians,Structured query language SQL,Technology Skills,Data base user interface and query software
1238,Statisticians,"Evaluate the statistical methods and procedures used to obtain data to ensure validity, applicability, efficiency, and accuracy.",Task Statements,Core
1239,Statisticians,DataDescription DataDesk,Technology Skills,Analytical or scientific software
1240,Statisticians,"Determine whether statistical methods are appropriate, based on user needs or research questions of interest.",Task Statements,Core
1241,Statisticians,Inductive Reasoning,Abilities,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
1242,Statisticians,XLISP-STAT,Technology Skills,Analytical or scientific software
1243,Statisticians,Initiative,Work Styles,Job requires a willingness to take on responsibilities and challenges.
1244,Statisticians,Speaking,Skills,Talking to others to convey information effectively.
1245,Statisticians,"Process large amounts of data for statistical modeling and graphic analysis, using computers.",Task Statements,Core
1246,Statisticians,Angoss KnowledgeSEEKER,Technology Skills,Data mining software
1247,Statisticians,IBM SPSS AnswerTree,Technology Skills,Analytical or scientific software
1248,Statisticians,Automatic Forecasting Systems Autobox,Technology Skills,Analytical or scientific software
1249,Statisticians,Written Expression,Abilities,The ability to communicate information and ideas in writing so others will understand.
1250,Statisticians,Desktop computers,Tools Used,Desktop computers
1251,Statisticians,Dependability,Work Styles,"Job requires being reliable, responsible, and dependable, and fulfilling obligations."
1252,Statisticians,Learning Strategies,Skills,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
1253,Statisticians,Stat-Ease Design-Expert,Technology Skills,Analytical or scientific software
1254,Statisticians,Getting Information,Work Activities,"Observing, receiving, and otherwise obtaining information from all relevant sources."
1255,Statisticians,Leadership,Work Styles,"Job requires a willingness to lead, take charge, and offer opinions and direction."
1256,Statisticians,"Prepare data for processing by organizing information, checking for inaccuracies, and adjusting and weighting the raw data.",Task Statements,Core
1257,Statisticians,Speed of Closure,Abilities,"The ability to quickly make sense of, combine, and organize information into meaningful patterns."
1258,Statisticians,Teradata Database,Technology Skills,Data base management system software
1259,Statisticians,Microsoft Office,Technology Skills,Office suite software
1260,Statisticians,Microsoft Excel,Technology Skills,Spreadsheet software
1261,Statisticians,Writing,Skills,Communicating effectively in writing as appropriate for the needs of the audience.
1262,Statisticians,"Evaluate sources of information to determine any limitations, in terms of reliability or usability.",Task Statements,Core
1263,Statisticians,SAS JMP,Technology Skills,Analytical or scientific software
1264,Statisticians,Design research projects that apply valid scientific techniques and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.,Task Statements,Core
1265,Statisticians,Microsoft PowerPoint,Technology Skills,Presentation software
1266,Statisticians,Developing and Building Teams,Work Activities,"Encouraging and building mutual trust, respect, and cooperation among team members."
1267,Statisticians,Formula translation/translator FORTRAN,Technology Skills,Development environment software
1268,Statisticians,Analyzing Data or Information,Work Activities,"Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts."
1269,Statisticians,Originality,Abilities,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."
1270,Statisticians,Written Comprehension,Abilities,The ability to read and understand information and ideas presented in writing.
1271,Statisticians,Wolfram Research Mathematica,Technology Skills,Analytical or scientific software
1272,Statisticians,Microsoft Access,Technology Skills,Data base user interface and query software
1273,Statisticians,Laptop computers,Tools Used,Notebook computers
1274,Statisticians,"Identify relationships and trends in data, as well as any factors that could affect the results of research.",Task Statements,Core
1275,Statisticians,Number Facility,Abilities,"The ability to add, subtract, multiply, or divide quickly and correctly."
1276,Statisticians,Self Control,Work Styles,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
1277,Statisticians,Independence,Work Styles,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
1278,Statisticians,Oral Comprehension,Abilities,The ability to listen to and understand information and ideas presented through spoken words and sentences.
1279,Statisticians,Microsoft Visual FoxPro,Technology Skills,Object oriented data base management software
1280,Statisticians,RAT-STATS,Technology Skills,Analytical or scientific software
1281,Statisticians,Support,Work Values,"Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical."
1282,Statisticians,Mathematics,Skills,Using mathematics to solve problems.
1283,Statisticians,Python,Technology Skills,Object or component oriented development software
1284,Statisticians,"Communicating with Supervisors, Peers, or Subordinates",Work Activities,"Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person."
1285,Statisticians,UNIX,Technology Skills,Operating system software
1286,Statisticians,Plan data collection methods for specific projects and determine the types and sizes of sample groups to be used.,Task Statements,Core
1287,Statisticians,Speech Clarity,Abilities,The ability to speak clearly so others can understand you.
1288,Statisticians,Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,Task Statements,Core
1289,Statisticians,"Report results of statistical analyses, including information in the form of graphs, charts, and tables.",Task Statements,Core
1290,Statisticians,Flexibility of Closure,Abilities,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."
1291,Statisticians,Innovation,Work Styles,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
1292,Statisticians,Updating and Using Relevant Knowledge,Work Activities,Keeping up-to-date technically and applying new knowledge to your job.
1293,Statisticians,Systems Evaluation,Skills,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
1294,Statisticians,Active Listening,Skills,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
1295,Statisticians,SAP,Technology Skills,Enterprise resource planning ERP software
1296,Statisticians,Achievement/Effort,Work Styles,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
1297,Statisticians,Persistence,Work Styles,Job requires persistence in the face of obstacles.
1298,Statisticians,English Language,Knowledge,"Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar."
1299,Statisticians,Microsoft SQL Server,Technology Skills,Data base user interface and query software
1300,Statisticians,Apache Pig,Technology Skills,Data base management system software
1301,Statisticians,"Develop and test experimental designs, sampling techniques, and analytical methods.",Task Statements,Core
1302,Statisticians,Cooperation,Work Styles,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
1303,Statisticians,Systat Software SigmaStat,Technology Skills,Analytical or scientific software
1304,Statisticians,Systat Software SigmaPlot,Technology Skills,Analytical or scientific software
1305,Statisticians,Qlik Tech QlikView,Technology Skills,Business intelligence and data analysis software
1306,Computer Systems Analysts,Microsoft Visual Basic Scripting Edition VBScript,Technology Skills,Development environment software
1307,Computer Systems Analysts,Microsoft Azure,Technology Skills,Development environment software
1308,Computer Systems Analysts,Visualization,Abilities,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
1309,Computer Systems Analysts,Judgment and Decision Making,Skills,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
1310,Computer Systems Analysts,Symantec,Technology Skills,Transaction security and virus protection software
1311,Computer Systems Analysts,Linux,Technology Skills,Operating system software
1312,Computer Systems Analysts,Transact-SQL,Technology Skills,Data base user interface and query software
1313,Computer Systems Analysts,Oracle JD Edwards EnterpriseOne,Technology Skills,Enterprise resource planning ERP software
1314,Computer Systems Analysts,Apache Struts,Technology Skills,Web platform development software
1315,Computer Systems Analysts,Swift,Technology Skills,Object or component oriented development software
1316,Computer Systems Analysts,Microsoft Windows,Technology Skills,Operating system software
1317,Computer Systems Analysts,Minitab,Technology Skills,Analytical or scientific software
1318,Computer Systems Analysts,Processing Information,Work Activities,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data."
1319,Computer Systems Analysts,Time Management,Skills,Managing one's own time and the time of others.
1320,Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",Task Statements,Supplemental
1321,Computer Systems Analysts,Reading Comprehension,Skills,Understanding written sentences and paragraphs in work related documents.
1322,Computer Systems Analysts,SAP Crystal Reports,Technology Skills,Data base reporting software
1323,Computer Systems Analysts,Defect tracking software,Technology Skills,Program testing software
1324,Computer Systems Analysts,Integrity,Work Styles,Job requires being honest and ethical.
1325,Computer Systems Analysts,PHP: Hypertext Preprocessor,Technology Skills,Web platform development software
1326,Computer Systems Analysts,Common business oriented language COBOL,Technology Skills,Development environment software
1327,Computer Systems Analysts,Ruby on Rails,Technology Skills,Web platform development software
1328,Computer Systems Analysts,Mathematical Reasoning,Abilities,The ability to choose the right mathematical methods or formulas to solve a problem.
1329,Computer Systems Analysts,Omni Group OmniGraffle,Technology Skills,Pattern design software
1330,Computer Systems Analysts,Integrated development environment IDE software,Technology Skills,Development environment software
1331,Computer Systems Analysts,Red Hat Enterprise Linux,Technology Skills,Operating system software
1332,Computer Systems Analysts,SAP Netweaver BW,Technology Skills,Enterprise application integration software
1333,Computer Systems Analysts,Patch and update management software,Technology Skills,Configuration management software
1334,Computer Systems Analysts,Symantec pcAnywhere,Technology Skills,Desktop communications software
1335,Computer Systems Analysts,Active directory software,Technology Skills,Internet directory services software
1336,Computer Systems Analysts,Adaptability/Flexibility,Work Styles,Job requires being open to change (positive or negative) and to considerable variety in the workplace.
1337,Computer Systems Analysts,NetSuite ERP,Technology Skills,Enterprise resource planning ERP software
1338,Computer Systems Analysts,Analytical Thinking,Work Styles,Job requires analyzing information and using logic to address work-related issues and problems.
1339,Computer Systems Analysts,Speech Recognition,Abilities,The ability to identify and understand the speech of another person.
1340,Computer Systems Analysts,Documenting/Recording Information,Work Activities,"Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form."
1341,Computer Systems Analysts,Snort,Technology Skills,Network monitoring software
1342,Computer Systems Analysts,IBM Cognos Impromptu,Technology Skills,Business intelligence and data analysis software
1343,Computer Systems Analysts,Data conversion software,Technology Skills,Data conversion software
1344,Computer Systems Analysts,Microsoft ActiveX,Technology Skills,Object or component oriented development software
1345,Computer Systems Analysts,Veritas NetBackup,Technology Skills,Backup or archival software
1346,Computer Systems Analysts,Coordination,Skills,Adjusting actions in relation to others' actions.
1347,Computer Systems Analysts,Social Orientation,Work Styles,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
1348,Computer Systems Analysts,Remote control software,Technology Skills,Desktop communications software
1349,Computer Systems Analysts,Microsoft SQL Server Reporting Services,Technology Skills,Data base reporting software
1350,Computer Systems Analysts,Apache Hive,Technology Skills,Data base management system software
1351,Computer Systems Analysts,Systems Analysis,Skills,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
1352,Computer Systems Analysts,McAfee,Technology Skills,Transaction security and virus protection software
1353,Computer Systems Analysts,Microsoft Visio,Technology Skills,Graphics or photo imaging software
1354,Computer Systems Analysts,Version control software,Technology Skills,File versioning software
1355,Computer Systems Analysts,Objective C,Technology Skills,Object or component oriented development software
1356,Computer Systems Analysts,R,Technology Skills,Object or component oriented development software
1357,Computer Systems Analysts,"Identifying Objects, Actions, and Events",Work Activities,"Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events."
1358,Computer Systems Analysts,Ext JS,Technology Skills,Web platform development software
1359,Computer Systems Analysts,Node.js,Technology Skills,Web platform development software
1360,Computer Systems Analysts,Flow chart software,Technology Skills,Pattern design software
1361,Computer Systems Analysts,IBM Power Systems software,Technology Skills,Enterprise system management software
1362,Computer Systems Analysts,StataCorp Stata,Technology Skills,Analytical or scientific software
1363,Computer Systems Analysts,ESRI ArcGIS software,Technology Skills,Map creation software
1364,Computer Systems Analysts,Training and Teaching Others,Work Activities,"Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others."
1365,Computer Systems Analysts,IBM InfoSphere DataStage,Technology Skills,Enterprise application integration software
1366,Computer Systems Analysts,IBM Rational PurifyPlus,Technology Skills,Program testing software
