id,title,identifier,score_all,name
835,BUSINESS INTELLIGENCE (BI) ANALYST,15-1199.08,0.8701451892926533,Business Intelligence Analysts
836,Stage / Internship - Analyste en stratégie / Strategy Analys...,15-2041.02,0.411623503796965,Clinical Data Managers
837,Senior Data Analyst - Growth,15-1199.08,0.8618072064973366,Business Intelligence Analysts
838,Analytics & Insights Analyst,15-1199.08,0.8195685145948178,Business Intelligence Analysts
839,Data Management Analyst,15-1121.00,0.7635075241219254,Computer Systems Analysts
840,Replenishment Analyst,13-2099.01,0.8813651009691545,Financial Quantitative Analysts
841,Data Analytics Analyst,15-1121.00,0.8591512484752479,Computer Systems Analysts
842,Media Analyst (Music Marketing),15-1121.00,0.8504980386109577,Computer Systems Analysts
843,Compliance Analyst (2182),15-1121.00,0.7604568153177736,Computer Systems Analysts
844,Data Analyst,15-1199.07,0.8388246056870676,Data Warehousing Specialists
845,Data Visualization Specialist,15-1199.04,0.8209410305026743,Geospatial Information Scientists and Technologists
846,"Business Analyst (Montreal, QC)",15-1199.08,0.8429112374874378,Business Intelligence Analysts
847,PRICING ANALYST,13-2099.01,0.8898024081469547,Financial Quantitative Analysts
848,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
849,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
850,BI Analyst,15-1111.00,0.858162376392638,Computer and Information Research Scientists
851,Workforce Management Analyst,15-1199.08,0.8722848592438981,Business Intelligence Analysts
852,Senior Data Analyst (CRX),15-1199.07,0.8450551797742549,Data Warehousing Specialists
853,Analyst en Assurance Qualité - télémétrie / Analyst QA - dat...,15-1199.08,0.45845929012760145,Business Intelligence Analysts
854,Analyste de données / Data Analyst,15-1199.08,0.3833698522723887,Business Intelligence Analysts
855,Business Intelligence - Senior Analyst,15-1199.08,0.9251166062100553,Business Intelligence Analysts
856,Quality Assurance Analyst– Digital Business Solutions,15-1121.00,0.8572075091986348,Computer Systems Analysts
857,Business Analyst (Advertising),15-1199.08,0.8600521511098593,Business Intelligence Analysts
858,Analyst,13-2099.01,0.9137303620796626,Financial Quantitative Analysts
